year,dist_band_code,dist_band_name,total_value,total_current_value,total_tons,total_tmiles,value_share_pct
2024,1,"Below 100",5588682.6286740145,7425603.365218004,7167837.949939,301106.27953600057,29.43
2024,2,"100 - 249",5029451.722587994,6671940.900666012,7655188.108317997,1225625.7143919992,26.48
2024,3,"250 - 499",2829770.3446700047,3710100.9777530017,2484150.630815003,850707.9250999991,14.9
2024,4,"500 - 749",1315699.7219419978,1709946.343100003,770072.5012920004,471685.50877299975,6.93
2024,5,"750 - 999",1069274.1917469983,1391765.5660249968,669140.7004709982,573129.8882980004,5.63
2024,6,"1,000 - 1,499",1361284.8024270018,1761293.6215670004,795542.1381529995,981756.551571999,7.17
2024,7,"1,500 - 2,000",674330.8587460013,861602.2095690015,258902.4865249992,442917.5832320007,3.55
2024,8,"Over 2,000",1122696.626972999,1437270.229467,210668.43485100174,534760.4073799974,5.91
