year,mode_name,total_value,total_current_value,total_tons,total_tmiles,value_share_pct
2024,Truck,13698711.812052982,18079000.68820397,12843949.217669021,2408115.219149009,72.13
2024,"Multiple modes & mail",2618529.829722002,3332640.858721004,634479.9331280034,544911.9876170001,13.79
2024,Pipeline,1109263.5938049993,1526651.7191020004,4025257.408153,1093161.4026440005,5.84
2024,"Air (include truck-air)",646892.9004510003,809475.2854760016,6700.836397999989,7793.874769999967,3.41
2024,Rail,583837.0430230006,752486.1923749993,1532843.3659800033,970421.3450410028,3.07
2024,Water,259226.31729499984,363477.8819289998,771510.5437039994,349484.1403269998,1.36
2024,"No domestic mode",40569.449478,61059.808237,116413.43610600001,0,0.21
2024,"Other and unknown",34159.95194,44730.779320999995,80348.20922600002,7801.8887349999995,0.18
